ean;name;unit;category;unit_price;vat_rate
4006381333931;Bread 500g;pcs;bakery;1.35;7
4009900484147;Milk 1L;pack;dairy;1.40;7
4311501676851;Salt 1kg;pack;grocery;0.72;19
5000112637922;Cola 330ml;can;drinks;1.19;19
4008400403021;Chocolate 100g;bar;confectionery;2.49;7
4002971000122;Coffee 500g;pack;grocery;7.99;7
4104420089091;Olive oil 750ml;bottle;grocery;6.49;7
4000521006549;Yoghurt 500g;pot;dairy;1.09;7
4056489176954;Sparkling water 1L;bottle;drinks;0.65;19
4337256720236;Pasta 500g;pack;grocery;1.19;7
