order_id;order_date;ean;quantity;unit_price;customer;country
1001;2026-01-05;4006381333931;12;1.35;Alpha GmbH;DE
1002;2026-01-05;4009900484147;6;1,40;Beta AG;AT
1003;2026-01-06;4311501676851;24;0.72;Gamma Ltd;UK
1004;2026-01-06;5000112637922;;1.19;Delta SA;FR
1005;2026-01-07;4008400403021;10;2.49;Alpha GmbH;DE
1006;2026-01-07;99999999;5;1.00;Epsilon BV;NL
1007;2026-01-08;4002971000122;3;7.99;Beta AG;AT
1008;2026-01-08;4104420089091;-2;6.49;Zeta Oy;FI
1009;2026-01-09;4000521006549;18;1.09;Alpha GmbH;DE
1010;2026-01-09;4056489176954;48;0.65;Delta SA;FR
1011;2026-01-10;4337256720236;15;1.19;Eta AB;SE
1012;2026-01-10;4006381333931;9;1.35;Beta AG;AT
1013;not-a-date;4009900484147;7;1.40;Theta AS;NO
1014;2026-01-11;4311501676851;30;abc;Iota SpA;IT
1015;2026-01-12;4008400403021;4;2.49;Alpha GmbH;DE
1016;2026-01-12;4002971000122;6;7.99;Kappa Oy;FI
1017;2026-01-13;4006381333931;21;1.35;Delta SA;FR
1017;2026-01-13;4006381333931;21;1.35;Delta SA;FR
1018;2026-01-14;4000521006549;11;1.09;Eta AB;SE
1019;2026-01-14;;8;0.65;Lambda Ltd;UK
1020;2026-01-15;4337256720236;13;1.19;Alpha GmbH;DE
